rank,result_id,target_id,backend_family,production_quality,pLDDT,iPAE,binder_scRMSD,ipTM,min_ipae,avg_ipsae,interface_contact_density,structure_bin,sequence_bin,binder_chain,target_chains,output_chain_identity,src_pdb,dst_pdb
1,b1cdfbffacd4bda4,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.582961,95.135844,0.11853867,0.20811266,0.8756832,0.036662802,0.7254664,1.5996606,foldseek:1a4901f9e396b12f,seq90:b1cdfbffacd4bda4,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r009_cand_v7r004_hyp_0004_00_001_a816bfb24deec/job_0_n_177_id_64_fk_orig2_bm3-s0to75br2-s75to150br3-s150to225br2-s225to300br3/job_0_n_177_id_64_fk_orig2_bm3-s0to75br2-s75to150br3-s150to225br2-s225to300br3.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank001_complexa_fk_steering_b1cdfbffacd4bda4.pdb
2,c902af19cae765ec,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.562465,95.14898699999999,0.1295206,0.10279117,0.85092455,0.038907316,0.68094563,1.9821763,foldseek:49de4642fd533db2,seq90:c902af19cae765ec,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a975a719abf41/job_0_n_177_id_65_fk_orig3_bm1-s0to75br0-s75to150br3-s150to225br3-s225to300br2/job_0_n_177_id_65_fk_orig3_bm1-s0to75br0-s75to150br3-s150to225br3-s225to300br2.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank002_complexa_fk_steering_c902af19cae765ec.pdb
3,c7fe1887a5dccab8,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.558661,96.23301,0.14237486,0.17003004,0.8684341,0.04309355,0.71985644,2.6474936,foldseek:26e7aa9b2808066b,seq90:c7fe1887a5dccab8,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r009_cand_v7r004_hyp_0004_00_001_a816bfb24deec/job_0_n_221_id_64_fk_orig0_bm3-s0to75br0-s75to150br2-s150to225br3-s225to300br0/job_0_n_221_id_64_fk_orig0_bm3-s0to75br0-s75to150br2-s150to225br3-s225to300br0.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank003_complexa_fk_steering_c7fe1887a5dccab8.pdb
4,900edf7814523a00,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.557722,94.64295,0.12697142,0.12481256,0.863027,0.041256085,0.69063365,1.6949054,foldseek:1a4901f9e396b12f,seq90:900edf7814523a00,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r009_cand_v7r004_hyp_0004_00_001_a816bfb24deec/job_0_n_177_id_67_fk_orig2_bm3-s0to75br2-s75to150br3-s150to225br2-s225to300br0/job_0_n_177_id_67_fk_orig2_bm3-s0to75br2-s75to150br3-s150to225br2-s225to300br0.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank004_complexa_fk_steering_900edf7814523a00.pdb
5,1a4901f9e396b12f,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.55506,94.562507,0.12757598,0.18072197,0.86100125,0.04104545,0.6843958,1.7033489,foldseek:1a4901f9e396b12f,seq90:1a4901f9e396b12f,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r009_cand_v7r004_hyp_0004_00_001_a816bfb24deec/job_0_n_177_id_66_fk_orig2_bm3-s0to75br2-s75to150br3-s150to225br2-s225to300br2/job_0_n_177_id_66_fk_orig2_bm3-s0to75br2-s75to150br3-s150to225br2-s225to300br2.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank005_complexa_fk_steering_1a4901f9e396b12f.pdb
6,bd34fcf9739126ac,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.554856,94.240314,0.12446208,0.17839074,0.8715496,0.039498504,0.7112673,1.6609153,foldseek:1a4901f9e396b12f,seq90:bd34fcf9739126ac,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r009_cand_v7r004_hyp_0004_00_001_a816bfb24deec/job_0_n_177_id_65_fk_orig2_bm3-s0to75br2-s75to150br3-s150to225br2-s225to300br2/job_0_n_177_id_65_fk_orig2_bm3-s0to75br2-s75to150br3-s150to225br2-s225to300br2.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank006_complexa_fk_steering_bd34fcf9739126ac.pdb
7,200d0d5873e9f9ac,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.548295,96.052307,0.14605577,0.18237393,0.85498905,0.044739105,0.68630826,2.6622217,foldseek:26e7aa9b2808066b,seq90:200d0d5873e9f9ac,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r009_cand_v7r004_hyp_0004_00_001_a816bfb24deec/job_0_n_221_id_66_fk_orig0_bm3-s0to75br0-s75to150br2-s150to225br3-s225to300br0/job_0_n_221_id_66_fk_orig0_bm3-s0to75br0-s75to150br2-s150to225br3-s225to300br0.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank007_complexa_fk_steering_200d0d5873e9f9ac.pdb
8,9ff3d897251186ab,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.544313,95.98354,0.147476,0.20504007,0.8614149,0.044504605,0.6988074,2.682043,foldseek:26e7aa9b2808066b,seq90:9ff3d897251186ab,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r009_cand_v7r004_hyp_0004_00_001_a816bfb24deec/job_0_n_221_id_65_fk_orig0_bm3-s0to75br0-s75to150br2-s150to225br3-s225to300br3/job_0_n_221_id_65_fk_orig0_bm3-s0to75br0-s75to150br2-s150to225br3-s225to300br3.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank008_complexa_fk_steering_9ff3d897251186ab.pdb
9,c9d234ce692789bf,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.542016,94.90464,0.13790312,0.17194553,0.82980096,0.046558354,0.6320901,2.1514719,foldseek:49de4642fd533db2,seq90:c9d234ce692789bf,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a975a719abf41/job_0_n_177_id_64_fk_orig3_bm1-s0to75br0-s75to150br3-s150to225br3-s225to300br0/job_0_n_177_id_64_fk_orig3_bm1-s0to75br0-s75to150br3-s150to225br3-s225to300br0.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank009_complexa_fk_steering_c9d234ce692789bf.pdb
10,b2f24c5a835181ed,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.530122,94.243324,0.13758679,0.13600376,0.83353364,0.045580983,0.6380949,2.0992625,foldseek:49de4642fd533db2,seq90:b2f24c5a835181ed,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a975a719abf41/job_0_n_177_id_67_fk_orig3_bm1-s0to75br0-s75to150br3-s150to225br2-s225to300br2/job_0_n_177_id_67_fk_orig3_bm1-s0to75br0-s75to150br3-s150to225br2-s225to300br2.pdb,/work/results/glm-think/designs/strict-export/pdbs/rank010_complexa_fk_steering_b2f24c5a835181ed.pdb
