rank,result_id,target_id,backend_family,production_quality,pLDDT,iPAE,binder_scRMSD,ipTM,min_ipae,avg_ipsae,interface_contact_density,structure_bin,sequence_bin,binder_chain,target_chains,output_chain_identity,src_pdb,dst_pdb
1,6ce700e4162c9a9d,32_PDL1_ALPHA_REPACK,complexa_beam,0.460026,95.09087000000001,0.16186915,0.72781825,0.7883197,0.050286297,0.5403447,2.272597,foldseek:e6474dea3ebf6a65,seq90:e6474dea3ebf6a65,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r006_cand_v7r006_hyp_0006_00_001_af1b7530d1b98/job_0_n_186_id_64_beam_orig3_bm0-s0to100br1-s100to200br2-s200to300br2-s300to400br1/job_0_n_186_id_64_beam_orig3_bm0-s0to100br1-s100to200br2-s200to300br2-s300to400br1.pdb,/work/results/qwen/designs/strict-export/pdbs/rank001_complexa_beam_6ce700e4162c9a9d.pdb
2,c2c3638f3f7ac82f,32_PDL1_ALPHA_REPACK,complexa_beam,0.45486,94.948214,0.16438223,0.72058845,0.7869511,0.05275857,0.5334523,2.2814226,foldseek:e6474dea3ebf6a65,seq90:e6474dea3ebf6a65,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r006_cand_v7r006_hyp_0006_00_001_af1b7530d1b98/job_0_n_186_id_67_beam_orig3_bm0-s0to100br1-s100to200br2-s200to300br2-s300to400br3/job_0_n_186_id_67_beam_orig3_bm0-s0to100br1-s100to200br2-s200to300br2-s300to400br3.pdb,/work/results/qwen/designs/strict-export/pdbs/rank002_complexa_beam_c2c3638f3f7ac82f.pdb
3,e6474dea3ebf6a65,32_PDL1_ALPHA_REPACK,complexa_beam,0.444313,94.9867,0.16347611,0.7618366,0.7887128,0.0513552,0.5372129,2.277335,foldseek:e6474dea3ebf6a65,seq90:e6474dea3ebf6a65,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r006_cand_v7r006_hyp_0006_00_001_af1b7530d1b98/job_0_n_186_id_66_beam_orig3_bm0-s0to100br1-s100to200br2-s200to300br2-s300to400br2/job_0_n_186_id_66_beam_orig3_bm0-s0to100br1-s100to200br2-s200to300br2-s300to400br2.pdb,/work/results/qwen/designs/strict-export/pdbs/rank003_complexa_beam_e6474dea3ebf6a65.pdb
4,d59974f4a4ca172f,32_PDL1_ALPHA_REPACK,structure_refilter,0.442638,95.05570121109486,0.14577631652355194,0.877495527267456,,,,,foldseek:00012452e7bf3c2c,seq90:d59974f4a4ca172f,B,A,verified,/work/results/qwen/campaign/worker_outputs/r037_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_004/af2_refilter_prediction.pdb,/work/results/qwen/designs/strict-export/pdbs/rank004_structure_refilter_d59974f4a4ca172f.pdb
5,b11e8f18e04c1767,32_PDL1_ALPHA_REPACK,structure_refilter,0.421184,95.19540034234524,0.14924030005931854,0.9332427382469177,,,,,foldseek:00012452e7bf3c2c,seq90:b11e8f18e04c1767,B,A,verified,/work/results/qwen/campaign/worker_outputs/r015_structure_refilter_chain_v7r009_proteinmpnn_redesign_to_structure_refilter_018/af2_refilter_prediction.pdb,/work/results/qwen/designs/strict-export/pdbs/rank005_structure_refilter_b11e8f18e04c1767.pdb
6,a02a9e59990ca80b,32_PDL1_ALPHA_REPACK,complexa_beam,0.418292,91.82938,0.15932178,0.67997706,0.79989207,0.051956035,0.5512484,2.0126178,foldseek:449058032b70e1b2,seq90:449058032b70e1b2,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r003_cand_v7r003_hyp_0003_01_002_a2b1ae63664a8/job_0_n_176_id_67_beam_orig0_bm1-s0to100br3-s100to200br3-s200to300br3-s300to400br0/job_0_n_176_id_67_beam_orig0_bm1-s0to100br3-s100to200br3-s200to300br3-s300to400br0.pdb,/work/results/qwen/designs/strict-export/pdbs/rank006_complexa_beam_a02a9e59990ca80b.pdb
7,12de82bf91174a72,32_PDL1_ALPHA_REPACK,structure_refilter,0.411222,95.26339881122112,0.1450400948524475,0.9941669702529907,,,,,foldseek:00012452e7bf3c2c,seq90:12de82bf91174a72,B,A,verified,/work/results/qwen/campaign/worker_outputs/r030_structure_refilter_chain_v7r009_proteinmpnn_redesign_to_structure_refilter_020/af2_refilter_prediction.pdb,/work/results/qwen/designs/strict-export/pdbs/rank007_structure_refilter_12de82bf91174a72.pdb
8,ebe720b73611c97e,32_PDL1_ALPHA_REPACK,structure_refilter,0.407967,94.5060208439827,0.16573339700698853,0.8349059224128723,,,,,foldseek:00012452e7bf3c2c,seq90:ebe720b73611c97e,B,A,verified,/work/results/qwen/campaign/worker_outputs/r033_structure_refilter_chain_v7r009_proteinmpnn_redesign_to_structure_refilter_022/af2_refilter_prediction.pdb,/work/results/qwen/designs/strict-export/pdbs/rank008_structure_refilter_ebe720b73611c97e.pdb
9,272645fe1c90cd64,32_PDL1_ALPHA_REPACK,structure_refilter,0.407535,95.3544020652771,0.14675161242485046,1.00106942653656,,,,,foldseek:00012452e7bf3c2c,seq90:272645fe1c90cd64,B,A,verified,/work/results/qwen/campaign/worker_outputs/r009_structure_refilter_chain_v7r008_proteinmpnn_redesign_to_structure_refilter_002/af2_refilter_prediction.pdb,/work/results/qwen/designs/strict-export/pdbs/rank009_structure_refilter_272645fe1c90cd64.pdb
10,5e1ea28bba7e50f9,32_PDL1_ALPHA_REPACK,complexa_beam,0.403118,91.850644,0.15903457,0.73117787,0.7999992,0.051812142,0.55211467,2.0127075,foldseek:449058032b70e1b2,seq90:449058032b70e1b2,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r003_cand_v7r003_hyp_0003_01_002_a2b1ae63664a8/job_0_n_176_id_66_beam_orig0_bm1-s0to100br3-s100to200br3-s200to300br3-s300to400br1/job_0_n_176_id_66_beam_orig0_bm1-s0to100br3-s100to200br3-s200to300br3-s300to400br1.pdb,/work/results/qwen/designs/strict-export/pdbs/rank010_complexa_beam_5e1ea28bba7e50f9.pdb
