rank,result_id,target_id,backend_family,production_quality,pLDDT,iPAE,binder_scRMSD,ipTM,min_ipae,avg_ipsae,interface_contact_density,structure_bin,sequence_bin,binder_chain,target_chains,output_chain_identity,src_pdb,dst_pdb
1,3494ff1b8c3841b8,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.564361,95.432335,0.13135064,0.07556177,0.86761045,0.040797435,0.74434763,1.9305867,foldseek:bfc1680974ae1b0d,seq90:3494ff1b8c3841b8,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r004_cand_v7r004_hyp_0004_00_001_af7f7c76a908b/job_0_n_211_id_67_fk_orig0_bm1-s0to100br3-s100to200br1-s200to300br2-s300to400br1/job_0_n_211_id_67_fk_orig0_bm1-s0to100br3-s100to200br1-s200to300br2-s300to400br1.pdb,/work/results/glm/designs/strict-export/pdbs/rank001_complexa_fk_steering_3494ff1b8c3841b8.pdb
2,70c0561bc88bb6e5,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.563341,95.26262,0.13019307,0.1647028,0.8738557,0.03608068,0.7468834,1.8687687,foldseek:bfc1680974ae1b0d,seq90:70c0561bc88bb6e5,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r004_cand_v7r004_hyp_0004_00_001_af7f7c76a908b/job_0_n_211_id_66_fk_orig0_bm1-s0to100br3-s100to200br2-s200to300br2-s300to400br0/job_0_n_211_id_66_fk_orig0_bm1-s0to100br3-s100to200br2-s200to300br2-s300to400br0.pdb,/work/results/glm/designs/strict-export/pdbs/rank002_complexa_fk_steering_70c0561bc88bb6e5.pdb
3,e67821b6b4059e57,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.527957,94.42932,0.14059277,0.18617974,0.85237795,0.038819604,0.6460006,1.6992974,foldseek:b17a7fd6bac5daf2,seq90:e67821b6b4059e57,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a5f4e8f8f5c73/job_0_n_177_id_65_fk_orig3_bm1-s0to100br0-s100to200br1-s200to300br1-s300to400br0/job_0_n_177_id_65_fk_orig3_bm1-s0to100br0-s100to200br1-s200to300br1-s300to400br0.pdb,/work/results/glm/designs/strict-export/pdbs/rank003_complexa_fk_steering_e67821b6b4059e57.pdb
4,bf72c98de0a6c51e,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.523677,94.488573,0.14345136,0.27276802,0.8096217,0.05118547,0.58739775,1.9911019,foldseek:e331896941d06196,seq90:c0f77f5dd243ff4b,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r004_cand_v7r004_hyp_0004_00_001_af7f7c76a908b/job_0_n_184_id_66_fk_orig2_bm0-s0to100br3-s100to200br1-s200to300br3-s300to400br2/job_0_n_184_id_66_fk_orig2_bm0-s0to100br3-s100to200br1-s200to300br3-s300to400br2.pdb,/work/results/glm/designs/strict-export/pdbs/rank004_complexa_fk_steering_bf72c98de0a6c51e.pdb
5,b17a7fd6bac5daf2,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.523593,94.27269,0.14133683,0.22310856,0.8545972,0.037315045,0.653407,1.70469,foldseek:b17a7fd6bac5daf2,seq90:e67821b6b4059e57,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a5f4e8f8f5c73/job_0_n_177_id_66_fk_orig3_bm1-s0to100br0-s100to200br1-s200to300br1-s300to400br0/job_0_n_177_id_66_fk_orig3_bm1-s0to100br0-s100to200br1-s200to300br1-s300to400br0.pdb,/work/results/glm/designs/strict-export/pdbs/rank005_complexa_fk_steering_b17a7fd6bac5daf2.pdb
6,7cb8719439638328,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.509374,94.30717,0.1492093,0.20398904,0.7997315,0.053933185,0.5666381,2.0397074,foldseek:e331896941d06196,seq90:c0f77f5dd243ff4b,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r004_cand_v7r004_hyp_0004_00_001_af7f7c76a908b/job_0_n_184_id_65_fk_orig2_bm0-s0to100br3-s100to200br1-s200to300br3-s300to400br1/job_0_n_184_id_65_fk_orig2_bm0-s0to100br3-s100to200br1-s200to300br3-s300to400br1.pdb,/work/results/glm/designs/strict-export/pdbs/rank006_complexa_fk_steering_7cb8719439638328.pdb
7,bfc1680974ae1b0d,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.505242,93.16006999999999,0.13992591,0.22758535,0.87002325,0.034895033,0.750974,1.7815096,foldseek:bfc1680974ae1b0d,seq90:bfc1680974ae1b0d,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r004_cand_v7r004_hyp_0004_00_001_af7f7c76a908b/job_0_n_211_id_65_fk_orig0_bm1-s0to100br3-s100to200br1-s200to300br0-s300to400br3/job_0_n_211_id_65_fk_orig0_bm1-s0to100br3-s100to200br1-s200to300br0-s300to400br3.pdb,/work/results/glm/designs/strict-export/pdbs/rank007_complexa_fk_steering_bfc1680974ae1b0d.pdb
8,f5aae55fc6fe5f5e,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.482569,92.893,0.14925876,0.35512084,0.83695334,0.039351985,0.5979995,1.8414148,foldseek:b17a7fd6bac5daf2,seq90:f5aae55fc6fe5f5e,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a5f4e8f8f5c73/job_0_n_177_id_64_fk_orig3_bm1-s0to100br0-s100to200br0-s200to300br3-s300to400br3/job_0_n_177_id_64_fk_orig3_bm1-s0to100br0-s100to200br0-s200to300br3-s300to400br3.pdb,/work/results/glm/designs/strict-export/pdbs/rank008_complexa_fk_steering_f5aae55fc6fe5f5e.pdb
9,25651256b9b5479c,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.470246,92.88212999999999,0.1556739,0.1370615,0.8286432,0.049587637,0.6364806,2.0719624,foldseek:25651256b9b5479c,seq90:25651256b9b5479c,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r005_cand_v7r005_hyp_0005_00_001_a5f4e8f8f5c73/job_0_n_196_id_64_fk_orig2_bm0-s0to100br3-s100to200br2-s200to300br2-s300to400br3/job_0_n_196_id_64_fk_orig2_bm0-s0to100br3-s100to200br2-s200to300br2-s300to400br3.pdb,/work/results/glm/designs/strict-export/pdbs/rank009_complexa_fk_steering_25651256b9b5479c.pdb
10,c0f77f5dd243ff4b,32_PDL1_ALPHA_REPACK,complexa_fk_steering,0.460449,93.43929,0.16643226,0.24272291,0.7704456,0.06477823,0.48812807,2.2040339,foldseek:e331896941d06196,seq90:c0f77f5dd243ff4b,B,A,verified,/work/T-REX/external/Proteina-Complexa/inference/search_binder_local_pipeline_32_PDL1_ALPHA_REPACK_v7_r004_cand_v7r004_hyp_0004_00_001_af7f7c76a908b/job_0_n_184_id_67_fk_orig2_bm0-s0to100br3-s100to200br1-s200to300br3-s300to400br0/job_0_n_184_id_67_fk_orig2_bm0-s0to100br3-s100to200br1-s200to300br3-s300to400br0.pdb,/work/results/glm/designs/strict-export/pdbs/rank010_complexa_fk_steering_c0f77f5dd243ff4b.pdb
